frequency_GHz,intensity_K,center_GHz,fwhm_km_s
115.27090000000001,4.1896846080166394e-15,115.269,1.4
115.271,1.0036154570585237e-16,115.269,1.4
115.2711,1.9853859381895115e-18,115.269,1.4
115.27120000000001,3.243501715845915e-20,115.269,1.4
115.27130000000001,4.375975810889033e-22,115.269,1.4
115.2714,4.875591192887715e-24,115.269,1.4
115.2715,4.4861237045909503e-26,115.269,1.4
115.2716,3.408841406279484e-28,115.269,1.4
115.27170000000001,2.1391140397689936e-30,115.269,1.4
115.2718,1.1085433229027678e-32,115.269,1.4
115.2719,4.744200037345874e-35,115.269,1.4
115.272,1.6767368346069578e-37,115.269,1.4
115.27210000000001,4.893937376054335e-40,115.269,1.4
115.2722,1.1796237314720645e-42,115.269,1.4
115.2723,2.3481194408774533e-45,115.269,1.4
115.2724,3.8600102478347596e-48,115.269,1.4
115.27250000000001,5.24020553311454e-51,115.269,1.4
115.27260000000001,5.874890485754538e-54,115.269,1.4
115.2727,5.43929758669764e-57,115.269,1.4
115.2728,4.1588901980661013e-60,115.269,1.4
115.2729,2.6260541618779906e-63,115.269,1.4
115.27300000000001,1.369372159483395e-66,115.269,1.4
115.2731,5.896996903414073e-70,115.269,1.4
115.2732,2.0971615913297693e-73,115.269,1.4
115.2733,6.159202471593489e-77,115.269,1.4
115.27340000000001,1.493855728618278e-80,115.269,1.4
115.2735,2.992157317990735e-84,115.269,1.4
115.2736,4.9493911800941014e-88,115.269,1.4
115.2737,6.760996744012761e-92,115.269,1.4
115.27380000000001,7.627132019760996e-96,115.269,1.4
115.27390000000001,7.105643114376829e-100,115.269,1.4
115.274,5.466849385629345e-104,115.269,1.4
115.2741,3.473460918242739e-108,115.269,1.4
115.27420000000001,1.8225494255299013e-112,115.269,1.4
115.27430000000001,7.897466692790872e-117,115.269,1.4
115.2744,2.826102323254545e-121,115.269,1.4
115.2745,8.351789712580679e-126,115.269,1.4
115.2746,2.038275150332685e-130,115.269,1.4
115.27470000000001,4.108068333574225e-135,115.269,1.4
115.2748,6.837606427628478e-140,115.269,1.4
115.2749,9.398577543643975e-145,115.269,1.4
115.275,1.0668706039460123e-149,115.269,1.4
115.27510000000001,1.0001219504784566e-154,115.269,1.4
115.2752,7.742581052355273e-160,115.269,1.4
115.2753,4.950056444914615e-165,115.269,1.4
115.2754,2.6135218311331016e-170,115.269,1.4
115.27550000000001,1.1395508343193511e-175,115.269,1.4
115.27560000000001,4.1032961707776024e-181,115.269,1.4
115.2757,1.2201792000864267e-186,115.269,1.4
115.2758,2.99644257750204e-192,115.269,1.4
115.27590000000001,6.076869244192784e-198,115.269,1.4
115.27600000000001,1.0177600844249975e-203,115.269,1.4
115.2761,1.4076754218612817e-209,115.269,1.4
115.2762,1.6078711060765424e-215,115.269,1.4
115.2763,1.5166714937064993e-221,115.269,1.4
115.27640000000001,1.1814719293535981e-227,115.269,1.4
115.2765,7.600582586306143e-234,115.269,1.4
115.2766,4.0379593848785743e-240,115.269,1.4
115.2767,1.7716119482719902e-246,115.269,1.4
115.27680000000001,6.418992158712547e-253,115.269,1.4
115.27690000000001,1.9206873672281343e-259,115.269,1.4
115.277,4.746113347600954e-266,115.269,1.4
115.2771,9.685256373557872e-273,115.269,1.4
115.27720000000001,1.6322088440665756e-279,115.269,1.4
115.27730000000001,2.271600326965689e-286,115.269,1.4
115.2774,2.6108367041724425e-293,115.269,1.4
115.2775,2.4781014730266374e-300,115.269,1.4
115.2776,1.9424509115941877e-307,115.269,1.4
115.27770000000001,1.257397548e-314,115.269,1.4
115.2778,6.6e-322,115.269,1.4
115.2779,0.0,115.269,1.4
115.278,0.0,115.269,1.4
115.27810000000001,0.0,115.269,1.4
115.2782,0.0,115.269,1.4
115.2783,0.0,115.269,1.4
115.2784,0.0,115.269,1.4
115.27850000000001,0.0,115.269,1.4
115.27860000000001,0.0,115.269,1.4
115.2787,0.0,115.269,1.4
115.2788,0.0,115.269,1.4
115.27890000000001,0.0,115.269,1.4
115.27900000000001,0.0,115.269,1.4
115.2791,0.0,115.269,1.4
115.2792,0.0,115.269,1.4
115.2793,0.0,115.269,1.4
115.27940000000001,0.0,115.269,1.4
115.2795,0.0,115.269,1.4
115.2796,0.0,115.269,1.4
115.2797,0.0,115.269,1.4
115.27980000000001,0.0,115.269,1.4
115.2799,0.0,115.269,1.4
115.28,0.0,115.269,1.4
115.2801,0.0,115.269,1.4
115.28020000000001,0.0,115.269,1.4
115.28030000000001,0.0,115.269,1.4
115.2804,0.0,115.269,1.4
115.2805,0.0,115.269,1.4
115.2806,0.0,115.269,1.4
115.28070000000001,0.0,115.269,1.4
115.2808,0.0,115.269,1.4
115.2809,0.0,115.269,1.4
115.281,0.0,115.269,1.4
115.28110000000001,0.0,115.269,1.4
115.2812,0.0,115.269,1.4
115.2813,0.0,115.269,1.4
115.2814,0.0,115.269,1.4
115.28150000000001,0.0,115.269,1.4
115.28160000000001,0.0,115.269,1.4
115.2817,0.0,115.269,1.4
115.2818,0.0,115.269,1.4
115.28190000000001,0.0,115.269,1.4
115.28200000000001,0.0,115.269,1.4
115.2821,0.0,115.269,1.4
115.2822,0.0,115.269,1.4
115.2823,0.0,115.269,1.4
115.28240000000001,0.0,115.269,1.4
115.2825,0.0,115.269,1.4
115.2826,0.0,115.269,1.4
115.2827,0.0,115.269,1.4
115.28280000000001,0.0,115.269,1.4
115.2829,0.0,115.269,1.4
115.283,0.0,115.269,1.4
115.2831,0.0,115.269,1.4
115.28320000000001,0.0,115.269,1.4
115.28330000000001,0.0,115.269,1.4
115.2834,0.0,115.269,1.4
115.2835,0.0,115.269,1.4
115.2836,0.0,115.269,1.4
115.28370000000001,0.0,115.269,1.4
115.2838,0.0,115.269,1.4
115.2839,0.0,115.269,1.4
115.284,0.0,115.269,1.4
